,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,Woluwe-St-Pierre,HOUSE,HOUSE,"€990,000",,6.0,,0.0,,,,,251.0,,,0,
1,Trooz,HOUSE,HOUSE,"€195,000",,3.0,,0.0,,,,,475.0,,,0,
2,Tournai,HOUSE_GROUP,HOUSE_GROUP,"€201,132",,,,,,,,,,,,0,
3,Trooz,HOUSE,MIXED_USE_BUILDING,"€295,000",,3.0,,0.0,,,,,1403.0,,,0,
4,Oupeye,HOUSE,HOUSE,"€549,000",,5.0,,0.0,,,,,25157.0,,,0,
5,Waterloo,HOUSE,MANSION,"€600,000",,4.0,,0.0,,,,,390.0,,,0,
6,Brugge,HOUSE,EXCEPTIONAL_PROPERTY,"€625,000",,2.0,,0.0,,,,,134.0,,,0,
7,Brugge,HOUSE,VILLA,"€675,000",,4.0,,0.0,,,,,1526.0,,,0,
8,Waterloo,HOUSE,VILLA,"€750,000",,5.0,,0.0,,,,,1059.0,,,0,
9,Ixelles,HOUSE,MANSION,"€3,800,000",,5.0,,0.0,,,,,340.0,,,0,
